Detector;Time;qPKW;vPKW
302:1Din;960;12;49
302:21Din;960;74;51
302:22Din;960;42;51
302:24Din;960;40;49
302:25Din;960;64;51
302:27Din;960;169;47
302:29Din;960;94;50
302:3Din;960;51;51
302:5Din;960;115;49
302:7Din;960;71;49
302:9Din;960;160;50
306:11Din;960;102;49
306:13Din;960;88;51
306:15Din;960;26;48
306:17Din;960;31;49
306:19Din;960;16;49
306:1Din;960;214;51
306:21Din;960;53;50
306:23Din;960;89;49
306:25Din;960;38;48
306:27Din;960;116;49
306:29Din;960;103;50
306:3Din;960;202;49
306:5Din;960;180;49
306:7Din;960;46;49
306:9Din;960;74;49
402:10Din;960;102;49
402:12Din;960;94;50
402:14Din;960;50;51
402:16Din;960;88;50
402:18Din;960;39;49
402:1Din;960;146;49
402:3Din;960;138;51
